application_no,trademark_name,applicant_name,sido,sigungu,application_date,year,nice_class,nice_class_label,status
40-2026-0100087,이든,true테크,전북특별자치도,전주시 덕진구,2021-09-21,2021,21,생활용품,등록
40-2026-0100088,푸른,가온스튜디오,서울특별시,송파구,2022-04-04,2022,9,전자/소프트웨어,등록
40-2026-0100089,다온,한빛메디컬,서울특별시,송파구,2023-12-23,2023,43,요식업,등록
40-2026-0100090,smart,누리테크,제주특별자치도,제주시,2022-09-23,2022,25,의류,출원중
40-2026-0100091,green,다솜메디컬,서울특별시,강남구,2025-01-27,2025,35,광고업/판매업,등록
40-2026-0100092,누리테크,다온스튜디오,제주특별자치도,제주시,2023-09-12,2023,41,교육/문화,등록
40-2026-0100093,urban,prime물산,서울특별시,영등포구,2023-12-19,2023,42,IT서비스,출원중
40-2026-0100094,solar,다온테크,서울특별시,송파구,2023-06-13,2023,25,의류,거절
40-2026-0100095,다온,smartF&B,경기도,성남시 분당구,2022-11-01,2022,35,광고업/판매업,등록
40-2026-0100096,true키친,새록F&B,서울특별시,종로구,2022-07-15,2022,9,전자/소프트웨어,등록
40-2026-0100097,한빛랩스,가온스튜디오,경기도,화성시,2025-03-17,2025,42,IT서비스,출원중
40-2026-0100098,누리,가온코스메틱,서울특별시,종로구,2025-11-03,2025,41,교육/문화,등록
40-2026-0100099,true,nova상사,광주광역시,서구,2023-11-04,2023,30,식품,등록
40-2026-0100100,누리,누리플랫폼,울산광역시,남구,2022-02-04,2022,42,IT서비스,등록
40-2026-0100101,prime,한빛키친,경기도,부천시,2024-10-18,2024,21,생활용품,출원중
40-2026-0100102,이든스튜디오,smart브루,경기도,화성시,2021-02-03,2021,43,요식업,출원중
40-2026-0100103,urban브루,이든디자인,서울특별시,마포구,2024-12-05,2024,21,생활용품,거절
40-2026-0100104,solar키친,prime키친,서울특별시,성동구,2022-02-08,2022,44,의료/미용,등록
40-2026-0100105,urban,하늘키친,경기도,고양시 일산동구,2023-10-22,2023,21,생활용품,등록
40-2026-0100106,푸른,이든물산,경기도,성남시 분당구,2022-04-07,2022,41,교육/문화,출원중
40-2026-0100107,누리,푸른물산,경기도,성남시 분당구,2024-08-17,2024,21,생활용품,등록
40-2026-0100108,한빛코스메틱,하늘코스메틱,전북특별자치도,전주시 덕진구,2024-09-08,2024,25,의류,등록
40-2026-0100109,prime,novaF&B,광주광역시,서구,2023-12-01,2023,43,요식업,등록
40-2026-0100110,다솜코스메틱,이든디자인,서울특별시,영등포구,2025-04-18,2025,43,요식업,등록
40-2026-0100111,solar,다온전자,경기도,용인시 기흥구,2022-03-08,2022,3,화장품,출원중
40-2026-0100112,다솜랩스,다솜전자,서울특별시,영등포구,2021-02-08,2021,30,식품,등록
40-2026-0100113,온새미플랫폼,온새미코리아,서울특별시,종로구,2021-10-11,2021,3,화장품,출원중
40-2026-0100114,green,온새미랩스,전라남도,여수시,2024-10-17,2024,9,전자/소프트웨어,출원중
40-2026-0100115,nova,누리디자인,충청남도,천안시 서북구,2021-03-20,2021,30,식품,등록
40-2026-0100116,한빛메디컬,이든코스메틱,서울특별시,마포구,2024-07-19,2024,44,의료/미용,출원중
40-2026-0100117,third,하늘테크,경기도,고양시 일산동구,2023-08-25,2023,30,식품,출원중
40-2026-0100118,urban,true메디컬,대구광역시,수성구,2021-11-19,2021,21,생활용품,거절
40-2026-0100119,새록,third코리아,경기도,용인시 기흥구,2023-08-08,2023,42,IT서비스,등록
40-2026-0100120,smart,urban랩스,서울특별시,강남구,2024-10-10,2024,41,교육/문화,등록
40-2026-0100121,prime물산,green컴퍼니,서울특별시,송파구,2025-08-03,2025,35,광고업/판매업,등록
40-2026-0100122,온새미브루,true상사,경상남도,창원시 성산구,2023-11-05,2023,25,의류,등록
40-2026-0100123,가온랩스,third전자,서울특별시,성동구,2025-02-11,2025,25,의류,출원중
40-2026-0100124,하늘,한빛테크,경기도,성남시 분당구,2022-11-19,2022,25,의류,출원중
40-2026-0100125,하늘컴퍼니,새록베이커리,서울특별시,마포구,2021-01-03,2021,21,생활용품,등록
40-2026-0100126,nova,다온상사,서울특별시,중구,2025-03-01,2025,3,화장품,등록
40-2026-0100127,별빛,하늘상사,부산광역시,부산진구,2023-02-20,2023,44,의료/미용,등록
40-2026-0100128,nova테크,prime스튜디오,경기도,성남시 분당구,2024-05-28,2024,44,의료/미용,출원중
40-2026-0100129,다솜,다솜키친,충청남도,천안시 서북구,2024-04-25,2024,42,IT서비스,출원중
40-2026-0100130,별빛테크,prime상사,경기도,수원시 영통구,2023-02-08,2023,21,생활용품,등록
40-2026-0100131,nova,third컴퍼니,경기도,수원시 영통구,2025-09-24,2025,25,의류,거절
40-2026-0100132,true코리아,urban스튜디오,서울특별시,영등포구,2022-04-25,2022,41,교육/문화,출원중
40-2026-0100133,novaF&B,새록코스메틱,서울특별시,강남구,2025-08-08,2025,25,의류,등록
40-2026-0100134,smart베이커리,greenF&B,인천광역시,연수구,2024-01-28,2024,25,의류,소멸
40-2026-0100135,solar테크,이든스튜디오,경기도,성남시 분당구,2025-01-25,2025,21,생활용품,등록
40-2026-0100136,이든,미르브루,서울특별시,강남구,2023-10-17,2023,3,화장품,등록
40-2026-0100137,urban컴퍼니,third스튜디오,인천광역시,남동구,2025-01-24,2025,44,의료/미용,등록
40-2026-0100138,가온,온새미스튜디오,서울특별시,송파구,2025-04-11,2025,41,교육/문화,등록
40-2026-0100139,prime,이든베이커리,서울특별시,강남구,2021-02-27,2021,44,의료/미용,등록
40-2026-0100140,green,별빛전자,충청북도,청주시 흥덕구,2022-08-06,2022,25,의류,등록
40-2026-0100141,다온랩스,prime플랫폼,서울특별시,성동구,2025-06-27,2025,42,IT서비스,거절
40-2026-0100142,nova디자인,green코스메틱,서울특별시,강남구,2022-05-02,2022,21,생활용품,등록
40-2026-0100143,가온테크,solar컴퍼니,충청남도,천안시 서북구,2023-02-28,2023,42,IT서비스,등록
40-2026-0100144,하늘,prime베이커리,서울특별시,서초구,2022-10-03,2022,30,식품,출원중
40-2026-0100145,smart테크,하늘전자,대구광역시,달서구,2021-11-17,2021,44,의료/미용,등록
40-2026-0100146,nova,푸른F&B,경기도,수원시 영통구,2024-08-10,2024,44,의료/미용,출원중
40-2026-0100147,누리디자인,trueF&B,서울특별시,중구,2021-02-11,2021,25,의류,출원중
40-2026-0100148,누리,한빛상사,충청북도,청주시 흥덕구,2023-03-28,2023,42,IT서비스,등록
40-2026-0100149,온새미,다솜코스메틱,경기도,성남시 분당구,2023-08-20,2023,44,의료/미용,등록
40-2026-0100150,새록,smart코스메틱,서울특별시,송파구,2022-03-14,2022,9,전자/소프트웨어,소멸
40-2026-0100151,미르스튜디오,하늘F&B,경상남도,창원시 성산구,2024-11-05,2024,42,IT서비스,출원중
40-2026-0100152,solar,가온키친,대전광역시,유성구,2021-11-27,2021,44,의료/미용,소멸
40-2026-0100153,이든,가온F&B,서울특별시,영등포구,2021-02-23,2021,30,식품,출원중
40-2026-0100154,별빛전자,새록브루,부산광역시,해운대구,2025-06-22,2025,41,교육/문화,거절
40-2026-0100155,온새미물산,온새미코리아,부산광역시,해운대구,2024-03-11,2024,3,화장품,등록
40-2026-0100156,온새미코리아,가온컴퍼니,인천광역시,연수구,2021-03-25,2021,30,식품,등록
40-2026-0100157,가온스튜디오,새록F&B,경상남도,창원시 성산구,2025-03-21,2025,43,요식업,등록
40-2026-0100158,nova,urban컴퍼니,서울특별시,서초구,2025-09-03,2025,25,의류,등록
40-2026-0100159,누리물산,urban코스메틱,서울특별시,마포구,2024-07-06,2024,25,의류,소멸
40-2026-0100160,별빛컴퍼니,다솜코스메틱,경기도,화성시,2021-09-03,2021,43,요식업,출원중
40-2026-0100161,온새미키친,green물산,서울특별시,강남구,2025-09-21,2025,9,전자/소프트웨어,등록
40-2026-0100162,true,green키친,충청북도,청주시 흥덕구,2025-04-22,2025,41,교육/문화,소멸
40-2026-0100163,다온,다온물산,충청남도,천안시 서북구,2021-12-19,2021,44,의료/미용,등록
40-2026-0100164,third,green랩스,서울특별시,송파구,2023-05-10,2023,3,화장품,등록
40-2026-0100165,greenF&B,third디자인,대구광역시,수성구,2024-07-12,2024,9,전자/소프트웨어,등록
40-2026-0100166,가온코리아,smart키친,충청남도,천안시 서북구,2024-04-10,2024,30,식품,등록
40-2026-0100167,third메디컬,온새미브루,부산광역시,부산진구,2023-08-09,2023,25,의류,거절
40-2026-0100168,하늘,green테크,경기도,성남시 분당구,2025-12-17,2025,9,전자/소프트웨어,등록
40-2026-0100169,prime,하늘브루,서울특별시,송파구,2021-11-06,2021,3,화장품,출원중
40-2026-0100170,누리,누리베이커리,서울특별시,강남구,2025-06-27,2025,35,광고업/판매업,등록
40-2026-0100171,urban,third브루,서울특별시,강남구,2022-05-10,2022,9,전자/소프트웨어,등록
40-2026-0100172,온새미,새록플랫폼,경상남도,창원시 성산구,2025-01-24,2025,42,IT서비스,등록
40-2026-0100173,true,prime물산,인천광역시,연수구,2025-05-28,2025,9,전자/소프트웨어,출원중
40-2026-0100174,true코리아,푸른코스메틱,광주광역시,서구,2024-08-17,2024,21,생활용품,거절
40-2026-0100175,미르,green물산,경기도,부천시,2021-08-10,2021,30,식품,출원중
40-2026-0100176,누리,solar상사,경기도,성남시 분당구,2023-10-21,2023,43,요식업,거절
40-2026-0100177,하늘스튜디오,prime상사,인천광역시,연수구,2025-08-13,2025,43,요식업,소멸
40-2026-0100178,third,smart상사,부산광역시,해운대구,2024-09-11,2024,44,의료/미용,등록
40-2026-0100179,prime스튜디오,누리상사,서울특별시,서초구,2025-08-09,2025,25,의류,등록
40-2026-0100180,새록,다온브루,서울특별시,종로구,2025-07-24,2025,41,교육/문화,등록
40-2026-0100181,누리키친,한빛전자,서울특별시,서초구,2021-01-27,2021,35,광고업/판매업,등록
40-2026-0100182,prime,하늘테크,광주광역시,서구,2024-06-27,2024,43,요식업,출원중
40-2026-0100183,green상사,한빛코리아,부산광역시,부산진구,2025-02-22,2025,44,의료/미용,등록
40-2026-0100184,true브루,새록테크,경기도,수원시 영통구,2024-03-12,2024,43,요식업,등록
40-2026-0100185,별빛,다온디자인,부산광역시,해운대구,2021-09-11,2021,3,화장품,등록
40-2026-0100186,solar,다솜브루,서울특별시,중구,2024-09-21,2024,3,화장품,등록
40-2026-0100187,별빛,온새미컴퍼니,서울특별시,서초구,2025-03-05,2025,25,의류,등록
40-2026-0100188,solar,smart플랫폼,서울특별시,강남구,2025-06-11,2025,44,의료/미용,등록
40-2026-0100189,푸른컴퍼니,green메디컬,서울특별시,송파구,2022-04-17,2022,44,의료/미용,출원중
40-2026-0100190,누리코스메틱,smart상사,서울특별시,서초구,2023-10-27,2023,21,생활용품,출원중
40-2026-0100191,third상사,true전자,대전광역시,유성구,2023-01-20,2023,21,생활용품,출원중
40-2026-0100192,nova,푸른랩스,부산광역시,부산진구,2022-07-11,2022,43,요식업,거절
40-2026-0100193,별빛,다온코스메틱,부산광역시,부산진구,2022-02-05,2022,43,요식업,등록
40-2026-0100194,가온,다솜코스메틱,경상남도,창원시 성산구,2024-02-09,2024,30,식품,등록
40-2026-0100195,smart디자인,가온물산,경상북도,포항시 남구,2021-03-08,2021,25,의류,거절
40-2026-0100196,primeF&B,third메디컬,서울특별시,성동구,2023-03-01,2023,21,생활용품,등록
40-2026-0100197,새록F&B,urban메디컬,대전광역시,유성구,2025-12-07,2025,25,의류,소멸
40-2026-0100198,third,다솜F&B,서울특별시,마포구,2021-08-14,2021,30,식품,등록
40-2026-0100199,true플랫폼,urban코리아,경기도,성남시 분당구,2023-02-17,2023,35,광고업/판매업,등록
40-2026-0100200,하늘메디컬,별빛상사,전라남도,여수시,2025-06-03,2025,3,화장품,출원중
40-2026-0100201,다온,새록베이커리,서울특별시,송파구,2025-06-09,2025,9,전자/소프트웨어,거절
40-2026-0100202,urban코스메틱,온새미물산,서울특별시,서초구,2024-12-03,2024,43,요식업,출원중
40-2026-0100203,별빛,미르키친,서울특별시,성동구,2024-10-26,2024,43,요식업,거절
40-2026-0100204,다온,다솜플랫폼,인천광역시,연수구,2022-03-21,2022,42,IT서비스,출원중
40-2026-0100205,urban디자인,다온스튜디오,서울특별시,송파구,2025-11-17,2025,42,IT서비스,거절
40-2026-0100206,prime상사,하늘코스메틱,경기도,성남시 분당구,2021-04-20,2021,3,화장품,출원중
40-2026-0100207,하늘,하늘컴퍼니,경기도,부천시,2025-10-11,2025,43,요식업,등록
40-2026-0100208,nova,smart키친,부산광역시,해운대구,2024-04-27,2024,41,교육/문화,등록
40-2026-0100209,다온,가온브루,서울특별시,마포구,2024-02-18,2024,3,화장품,등록
40-2026-0100210,한빛,가온코스메틱,서울특별시,종로구,2025-03-05,2025,44,의료/미용,출원중
40-2026-0100211,한빛,별빛F&B,충청남도,천안시 서북구,2021-11-17,2021,21,생활용품,등록
40-2026-0100212,새록상사,온새미디자인,울산광역시,남구,2023-05-24,2023,41,교육/문화,출원중
40-2026-0100213,solar코스메틱,별빛전자,충청남도,천안시 서북구,2025-01-13,2025,44,의료/미용,출원중
40-2026-0100214,푸른,다온스튜디오,서울특별시,강남구,2023-04-03,2023,30,식품,출원중
40-2026-0100215,prime,prime테크,경기도,성남시 분당구,2023-04-08,2023,44,의료/미용,등록
40-2026-0100216,별빛베이커리,미르코리아,경상남도,창원시 성산구,2024-05-20,2024,25,의류,출원중
40-2026-0100217,새록베이커리,green전자,서울특별시,마포구,2022-11-07,2022,41,교육/문화,출원중
40-2026-0100218,green메디컬,가온상사,서울특별시,강남구,2021-05-03,2021,30,식품,등록
40-2026-0100219,third,solar메디컬,서울특별시,송파구,2025-01-27,2025,3,화장품,등록
40-2026-0100220,한빛랩스,하늘F&B,서울특별시,강남구,2022-02-22,2022,41,교육/문화,출원중
40-2026-0100221,solar,미르테크,경기도,성남시 분당구,2024-07-24,2024,35,광고업/판매업,등록
40-2026-0100222,다솜,prime코리아,서울특별시,송파구,2024-01-09,2024,43,요식업,등록
40-2026-0100223,third,green스튜디오,충청남도,천안시 서북구,2024-12-17,2024,25,의류,등록
40-2026-0100224,새록컴퍼니,새록물산,대전광역시,유성구,2024-05-14,2024,43,요식업,출원중
40-2026-0100225,온새미,푸른상사,경상남도,창원시 성산구,2025-12-03,2025,41,교육/문화,거절
40-2026-0100226,green,누리브루,서울특별시,중구,2024-08-25,2024,3,화장품,등록
40-2026-0100227,smart,누리코스메틱,경기도,성남시 분당구,2025-10-26,2025,25,의류,등록
40-2026-0100228,하늘랩스,solarF&B,서울특별시,송파구,2021-05-07,2021,44,의료/미용,등록
40-2026-0100229,새록,가온전자,서울특별시,영등포구,2022-07-01,2022,25,의류,출원중
40-2026-0100230,nova,별빛플랫폼,경상북도,포항시 남구,2022-07-16,2022,42,IT서비스,등록
40-2026-0100231,가온,solar컴퍼니,서울특별시,서초구,2023-01-24,2023,43,요식업,출원중
40-2026-0100232,true,urban코리아,서울특별시,서초구,2025-12-10,2025,9,전자/소프트웨어,등록
40-2026-0100233,누리,이든컴퍼니,부산광역시,부산진구,2023-05-15,2023,44,의료/미용,출원중
40-2026-0100234,다온,온새미베이커리,경기도,수원시 영통구,2025-05-19,2025,44,의료/미용,등록
40-2026-0100235,true,누리물산,대전광역시,유성구,2025-03-27,2025,35,광고업/판매업,출원중
40-2026-0100236,새록,한빛컴퍼니,서울특별시,강남구,2021-05-20,2021,3,화장품,등록
40-2026-0100237,하늘,prime전자,경기도,성남시 분당구,2024-05-08,2024,35,광고업/판매업,출원중
40-2026-0100238,true랩스,미르코리아,경기도,성남시 분당구,2021-10-26,2021,25,의류,등록
40-2026-0100239,푸른랩스,prime디자인,서울특별시,중구,2023-10-18,2023,3,화장품,등록
40-2026-0100240,새록,한빛메디컬,서울특별시,마포구,2022-04-21,2022,9,전자/소프트웨어,등록
40-2026-0100241,온새미,solar전자,충청남도,천안시 서북구,2022-02-25,2022,21,생활용품,출원중
40-2026-0100242,smart,하늘브루,서울특별시,강남구,2024-06-25,2024,42,IT서비스,등록
40-2026-0100243,미르,urban디자인,대전광역시,유성구,2024-04-08,2024,25,의류,등록
40-2026-0100244,한빛,true테크,서울특별시,서초구,2025-10-10,2025,21,생활용품,거절
40-2026-0100245,온새미물산,푸른플랫폼,인천광역시,연수구,2021-02-10,2021,25,의류,등록
40-2026-0100246,하늘코스메틱,새록베이커리,강원특별자치도,원주시,2024-06-27,2024,41,교육/문화,출원중
40-2026-0100247,urban키친,온새미상사,세종특별자치시,세종시,2021-12-11,2021,42,IT서비스,등록
40-2026-0100248,smart메디컬,urban브루,경기도,화성시,2025-04-22,2025,30,식품,등록
40-2026-0100249,다온,smart컴퍼니,경상남도,창원시 성산구,2023-12-03,2023,30,식품,등록
40-2026-0100250,solar컴퍼니,third메디컬,서울특별시,강남구,2022-08-28,2022,3,화장품,등록
40-2026-0100251,solar,별빛전자,서울특별시,강남구,2021-08-05,2021,21,생활용품,등록
40-2026-0100252,누리전자,푸른코리아,서울특별시,강남구,2024-12-25,2024,41,교육/문화,출원중
40-2026-0100253,smart물산,푸른베이커리,서울특별시,서초구,2024-06-28,2024,41,교육/문화,등록
40-2026-0100254,다온베이커리,새록컴퍼니,대전광역시,유성구,2025-08-09,2025,42,IT서비스,소멸
40-2026-0100255,누리,green스튜디오,서울특별시,강남구,2021-06-03,2021,42,IT서비스,등록
40-2026-0100256,이든상사,green물산,인천광역시,연수구,2024-01-03,2024,21,생활용품,등록
40-2026-0100257,다온플랫폼,이든메디컬,경기도,부천시,2023-04-13,2023,43,요식업,거절
40-2026-0100258,solar코스메틱,하늘키친,부산광역시,부산진구,2024-07-19,2024,35,광고업/판매업,거절
40-2026-0100259,온새미,푸른코리아,부산광역시,해운대구,2023-12-28,2023,3,화장품,소멸
40-2026-0100260,prime,푸른F&B,서울특별시,성동구,2025-05-17,2025,25,의류,등록
40-2026-0100261,가온,가온물산,경기도,성남시 분당구,2025-07-11,2025,3,화장품,등록
40-2026-0100262,새록,prime베이커리,제주특별자치도,제주시,2023-07-20,2023,44,의료/미용,출원중
40-2026-0100263,prime전자,true전자,충청북도,청주시 흥덕구,2022-10-09,2022,30,식품,등록
40-2026-0100264,prime플랫폼,smart베이커리,울산광역시,남구,2022-06-23,2022,44,의료/미용,소멸
40-2026-0100265,한빛메디컬,이든디자인,인천광역시,연수구,2023-09-27,2023,43,요식업,출원중
40-2026-0100266,이든,urban베이커리,서울특별시,송파구,2022-09-16,2022,41,교육/문화,거절
40-2026-0100267,다온F&B,true키친,경기도,용인시 기흥구,2022-05-02,2022,30,식품,등록
40-2026-0100268,별빛,nova스튜디오,서울특별시,마포구,2022-12-13,2022,44,의료/미용,등록
40-2026-0100269,third,urban물산,대전광역시,유성구,2025-05-24,2025,25,의류,거절
