지정상품(국문),NICE분류,유사군코드,지정상품(영문)
혼합유박비료,01,G0101,mixed oil cake (fertilizers)
혼합유기질비료,01,G0101,mixed organic fertilizers
혼합깻묵비료,01,G0101,mixed sesame oil cake (fertilizers)
몰리브덴비료,01,G0101,molybdenum (fertilizers)
비료용 이끼,01,G0101,moss for natural manures
천연비료,01,G0101,natural fertilizers
깻묵비료,01,G0101,oil cake (fertilizers)
진초비료,01,G0101,old tobacco (manures)
유기비료,01,G0101,organic fertilizers
땅콩깻묵비료,01,G0101,peanut oil cake (fertilizers)
토탄(土炭)비료,01,G0101,peat [fertilizer]
원예용 피트포트,01,G0101,peat pots for horticulture
인산염비료,01,G0101,phosphates [fertilizers]
초목재(灰)비료,01,G0101,plant ash (manures)
중탄산가리비료,01,G0101,potassium bicarbonate (fertilizers)
염화가리비료,01,G0101,potassium chloride fertilizer
칼륨비료,01,G0101,potassium fertilizers
질산칼륨비료,01,G0101,potassium nitrate
질소비료,01,G0101,nitrogenous fertilizers
곡류처리공정에서 발생하는 공업용 부산물,01,"G0101,G020102",by-products of the processing of cereals for industrial purposes
공업용 현미가루,01,G020102,brown rice flour for industrial purposes
공업용 메밀가루,01,G020102,buckwheat flour for industrial purposes
공업용 옥수수가루,01,G020102,corn flour for industrial purposes
공업용 곡분,01,G020102,flour for industrial purposes
공업용 들깨가루,01,G020102,green perilla flour for industrial purposes
공업용 쌀가루,01,G020102,rice flour for industrial purposes
공업용 콩가루,01,G020102,soybean flour for industrial purposes
공업용 전분,01,G020102,starch for industrial purposes
종이 제조용 전분,01,G020102,starch for use in the manufacture of paper
섬유 제조용 전분,01,G020102,starch for use in the manufacture of textiles
공업용 고구마가루,01,G020102,sweet potato starch for industrial purposes
공업용 타피오카가루,01,G020102,tapioca flour for industrial purposes
공업용 밀가루,01,G020102,wheat flour for industrial purposes
공업용 보리가루,01,G020102,barley flour for industrial purposes
공업용 율무가루,01,G020102,adlay flour for industrial purposes
종이 또는 직물 제조용 전분,01,G020102,starch for use in the manufacture of paper or textiles
공업용 갈분(葛粉),01,G020102,arrowroot starch for industrial purposes
공업용 감자가루,01,G020102,potato flour for industrial purposes
아세탈,01,G1001,acetal
아세트아닐리드,01,G1001,acetanilide
초산,01,G1001,acetates
초산염(화학제),01,G1001,acetates [chemicals]
공업용 초산염,01,G1001,acetates for industrial purposes
초산 에스테르,01,G1001,acetic acid esters
무수(無水)초산,01,G1001,acetic anhydride
아세톤,01,G1001,acetone
공업용 아세톤,01,G1001,acetone for industrial use
아세토페논,01,G1001,acetophenone
아세틸렌,01,G1001,acetylene
공업용 아세틸렌,01,G1001,acetylene for industrial use
사염화아세틸렌,01,G1001,acetylene tetrachloride
산촉매,01,G1001,acid catalysts
내(耐)산성 화학조성물,01,G1001,acid proof chemical compositions
산류(酸類),01,G1001,acids
축전지충전용 산성액,01,G1001,acidulated water for recharging batteries
아크릴모노머,01,G1001,acrylic monomers
아크릴폴리머파우더,01,G1001,acrylic polymer powders
아크릴로니트릴,01,G1001,acrylonitrile
활성탄,01,G1001,activated charcoal
항암제 제조용 활성 화학성분,01,G1001,active chemical ingredients for use in the manufacture of anti-cancer drugs
살충제 제조용 활성화학제,01,G1001,active chemical ingredients for use in the manufacture of insecticides
약제 제조용 활성화학제,01,G1001,active chemical ingredients for use in the manufacture of pharmaceuticals
이차전지용 활성음극물질,01,G1001,active negative polar substances for secondary cell batteries
도금용액용 첨가제,01,G1001,additives for plating baths
아디프산,01,G1001,adipic acid
흡착제,01,G1001,adsorbents
공업용 흡착제,01,G1001,adsorbents for industrial purposes
명반,01,G1001,alum
도금용 후처리제,01,G1001,after treating agents for plating
슬라임방지제,01,G1001,agents for protection against slime
콘크리트용 접합제,01,G1001,agglutinants for concrete
농업용 석회,01,G1001,agricultural lime
공기 연행제,01,G1001,air entraining agents
제조공정용 알부민,01,G1001,albumin for use in manufacture
공업용 알코올,01,G1001,alcohol for industrial purposes
페인트 및 기타 코팅제 제조용 알코올,01,G1001,alcohol for use in the manufacture of paints and other coatings
향수 제조용 알코올,01,G1001,alcohol for use in the manufacture of perfumes
알데히드,01,G1001,aldehydes
무두질용 알가로빌라,01,G1001,algarovilla for use in tanning
공업용 알긴산염,01,G1001,alginates for industrial purposes
식품산업용 알긴산염,01,G1001,alginates for the food industry
지방성 화합물,01,G1001,aliphatics
알칼리,01,G1001,alkalies
공업용 요오드화알칼리,01,G1001,alkaline iodides for industrial purposes
알칼리금속,01,G1001,alkaline metals
알칼리토류금속,01,G1001,alkaline-earth metals
알카로이드,01,G1001,alkaloids
화장품원료용 알킬벤조에이트,01,G1001,alkyl benzoate for raw materials of cosmetics
알릴알코올,01,G1001,allyl alcohol
염화알릴,01,G1001,allyl chloride
알루미나,01,G1001,alumina
알루민산염,01,G1001,aluminate
초산알루미늄,01,G1001,aluminium acetate
알루미늄 명반,01,G1001,aluminium alum
염화알루미늄,01,G1001,aluminium chloride
수산화알루미늄,01,G1001,aluminium hydrate
요오드화알루미늄,01,G1001,aluminium iodide
질산알루미늄,01,G1001,aluminium nitrate
산화알루미늄,01,G1001,aluminium oxide
산질화알루미늄,01,G1001,aluminium oxynitride
규산알루미늄,01,G1001,aluminium silicate
황산알루미늄,01,G1001,aluminium sulphate
황산 알루미늄 암모늄,01,G1001,aluminum ammonium sulfate
제조공정용 아미드,01,G1001,amides for use in manufacture
아민,01,G1001,amines
아미노산유도체,01,G1001,amino acid derivatives
식품산업용 아미노산,01,G1001,amino acid for food industry
아미노산 계면활성제,01,G1001,amino acid surface active agents
공업용 아미노산,01,G1001,amino acids for industrial purposes
과학용 아미노산,01,G1001,amino acids for scientific purposes
아미노나프토 톨루이딘 술폰산염,01,G1001,aminonaphthol toluidine sulfonate
아미노프로필디메치콘,01,G1001,aminopropyl dimethicone
암모니아,01,G1001,ammonia
암모니아명반,01,G1001,ammonia alum
암모니아수,01,G1001,ammonia water
암모니아염,01,G1001,ammoniacal salts
암모늄알데히드,01,G1001,ammonium aldehyde
암모늄백반,01,G1001,ammonium alum
중탄산암모늄,01,G1001,ammonium bicarbonate
중크롬산암모늄,01,G1001,ammonium bichromate
브롬화암모늄,01,G1001,ammonium bromide
탄산암모늄,01,G1001,ammonium carbonate
이크롬산암모늄,01,G1001,ammonium dichromate
플루오르화암모늄,01,G1001,ammonium fluoride
수산화암모늄,01,G1001,ammonium hydroxide
몰리브덴산암모늄,01,G1001,ammonium molybdate
초안,01,G1001,ammonium nitrate
과염소산암모늄,01,G1001,ammonium perchlorate
과황산암모늄,01,G1001,ammonium persulfate
인산암모늄,01,G1001,ammonium phosphate
암모늄염,01,G1001,ammonium salts
황산암모늄,01,G1001,ammonium sulfate
유안(硫安),01,G1001,ammonium sulphate
황화암모늄,01,G1001,ammonium sulphide
바나듐산암모늄,01,G1001,ammonium vanadate
공업용 아몰퍼스코팅제,01,G1001,amorphous coating agents for industrial purposes
공업용 금속산화물 합성물,01,G1001,amorphous metal oxide composite for industrial use
초산아밀,01,G1001,amyl acetate
아밀알코올,01,G1001,amyl alcohol
아밀알코올(펜탄올),01,G1001,amyl alcohol (pentanol)
무수물(無水物),01,G1001,anhydrides
무수(無水)암모니아,01,G1001,anhydrous ammonia
무수가성소다,01,G1001,anhydrous caustic soda
공업용 무수 수산화 나트륨,01,G1001,anhydrous sodium hydroxide for industrial purposes
아닐린,01,G1001,aniline
동물성 활성탄,01,G1001,animal carbon
동물성 활성탄 조제품,01,G1001,animal carbon preparations
미가공 동물성 또는 식물성 알부민,01,G1001,"albumin [animal or vegetable, raw material]"
아니솔,01,G1001,anisole
안트라센,01,G1001,anthracene
과학용 항체(의료용 또는 수의과용은 제외),01,G1001,"antibodies for scientific purposes, other than for medical or veterinary use"
과학용 항체시약,01,G1001,antibody reagents for scientific purposes
엔진냉각제용 항비등제,01,G1001,anti-boil preparations for engine coolants
동물 사료 제조용 고결방지제,01,G1001,anticaking agents for use in the manufacture of animal feed
구김방지제,01,G1001,anti-creasing agents
휴대폰용 지문 방지 코팅제,01,G1001,anti-finger print coating agents for cellphones
소포제,01,G1001,antifoaming agent
김서림 방지제,01,G1001,anti-fogging preparations
결빙방지제,01,G1001,antifreeze chemicals
부동 화학제,01,G1001,anti-freeze chemicals
부동제,01,G1001,anti-freezing preparations
축전지용 발포(發泡)방지액,01,G1001,anti-frothing solutions for accumulators
방미제,01,G1001,antifungus agents
외피형성 방지제,01,G1001,anti-incrustants
내연기관용 녹킹방지제,01,G1001,anti-knock substances for internal combustion engines
안티몬산염,01,G1001,antimonate
황화안티몬,01,G1001,antimony sulfide
화장품 제조용 산화방지제,01,G1001,antioxidants for use in the manufacture of cosmetics
식음료 제조용 산화방지제,01,G1001,antioxidants for use in the manufacture of food and beverages
타이어의 펑크 방지제,01,G1001,anti-puncture preparations
공업용 녹 방지제(화학첨가제),01,G1001,antirust preparations (chemical additives) for industrial purposes
침강방지제,01,G1001,anti-settling agents
방축제,01,G1001,anti-shrink agents
정전기발생 제어용 코팅제,01,G1001,"antistatic coating agents (chemicals), other than paints"
비가정용 정전기 방지제,01,G1001,"antistatic preparations, other than for household purposes"
전자장비용 정전기 방지 스프레이,01,G1001,anti-static sprays for electronic equipment
유리창 흐림방지제,01,G1001,anti-tarnishing chemicals for windows
안트라닐산,01,G1001,anthranilic acid
수성 폴리아크릴산계 물질,01,G1001,aqueous polyacrylicacid-based materials
식품산업용 아르기닌,01,G1001,arginine for food industry
아르곤,01,G1001,argon
방향족 탄화수소,01,G1001,aromatic hydrocarbons
공업용 및 상업용 방향족용제,01,G1001,aromatic solvents for industrial and commercial use
화장품 제조용 방향제,01,G1001,aromatics for use in the manufacture of cosmetics
비소(砒素),01,G1001,arsenic
아비산(亞砒酸),01,G1001,arsenious acid
아스팔트 부착방지제,01,G1001,asphalt release agents
아스타틴,01,G1001,astatine
자동차 본체 수리용 페이스트 충전제,01,G1001,paste fillers for automobile body repair
연마용 보조액,01,G1001,auxiliary fluids for use with abrasives
니스 제조용 거전발삼,01,G1001,gurjun balsam for use in the manufacture of varnish
염화바륨,01,G1001,barium chloride
바륨화합물,01,G1001,barium compounds
수산화바륨,01,G1001,barium hydroxide
질산바륨,01,G1001,barium nitrate
아질산바륨,01,G1001,barium nitrite
과산화바륨,01,G1001,barium peroxides
황산바륨,01,G1001,barium sulfate
화장품원료용 황산바륨,01,G1001,barium sulfate for raw materials of cosmetics
황화바륨,01,G1001,barium sulphide
중토(重土),01,G1001,baryta
화학용 염기,01,G1001,bases [chemical preparations]
염기성 몰식자산 비스무트,01,G1001,basic gallate of bismuth
피혁용 무두질제,01,G1001,bate for dressing skins
아연도금용 용액,01,G1001,baths for galvanizing
전지용 유화방지제,01,G1001,battery anti-sulphurizing agents
전지 전해액,01,G1001,battery electrolytes
맥주 보존제,01,G1001,beer preserving agents
맥주정화제,01,G1001,beer clarifying agents
벤즈알데히드,01,G1001,benzaldehyde
벤젠유도체,01,G1001,benzene derivatives
벤젠계 산류(酸類),01,G1001,benzene-based acids
벤조산,01,G1001,benzoic acid
산업용 벤조산설피나이드,01,G1001,benzoic sulfimide for industrial purposes
벤조페논,01,G1001,benzophenone
벤질알코올,01,G1001,benzyl alcohol
염화벤질,01,G1001,benzyl chloride
벤질에테르,01,G1001,benzyl ether
제조공정용 베타인,01,G1001,betaines for use in manufacture
화학용 중탄산소다,01,G1001,bicarbonate of soda for chemical purposes
이염화주석,01,G1001,bichloride of tin
중크롬산포타슘,01,G1001,bichromate of potassium
중크롬산소다,01,G1001,bichromate of soda
공업용 결합제,01,G1001,binding agents for industrial purposes
생화학적 촉매,01,G1001,biochemical catalysts
과학용 생화학 전구물질,01,G1001,biochemical precursor for scientific purposes
과학용 생화학적 전구체,01,G1001,biochemical precursors for scientific purposes
과학용 생화학제,01,G1001,biochemical preparations for scientific purposes
생체내 및 생체외 과학용 생화학물질,01,G1001,biochemicals for in vitro and in vivo scientific use
제조공정용 생분해성 양이온 계면활성제,01,G1001,biodegradable anionic surfactants for use in manufacture
과학용 또는 실험실용 생물제,01,G1001,biological preparations for scientific or laboratory purposes
생명공학시약,01,G1001,biological preparations for use in biotechnology [other than medical]
비페닐,01,G1001,biphenyls
염화비스무트,01,G1001,bismuth chloride
질산비스무트,01,G1001,bismuth nitrate
화학용 아질산비스무트,01,G1001,bismuth subnitrate for chemical purposes
공업용 탈색제,01,G1001,bleaching preparations [decolorants] for industrial purposes
혈탄(血炭),01,G1001,blood charcoal
우주산업용 본체 충전제,01,G1001,body fillers for use in the aerospace industry
골탄(骨炭),01,G1001,bone charcoal
도금용액용 촉진제,01,G1001,boosters for plating baths
붕산염,01,G1001,borates
붕사,01,G1001,borax
붕산,01,G1001,boric acid
공업용 붕산,01,G1001,boric acid for industrial purposes
보르네올,01,G1001,borneol
붕소,01,G1001,boron
붕소 인산염,01,G1001,boron phosphate
정유를 제외한 화장품 제조용 식물 추출물,01,G1001,"botanical extracts, other than essential oils, for use in making cosmetics"
용접 화학제,01,G1001,brazing chemicals
용접융제,01,G1001,brazing fluxes
용접제제,01,G1001,brazing preparations
벽돌보존제(페인트 및 오일은 제외),01,G1001,"brickwork preservatives, except paints and oils"
식품 제조용 유화제로서의 브롬화된 식물유,01,G1001,brominated vegetable oil for use as an emulsifier in the manufacture of food
브롬,01,G1001,bromine
화학용 브롬,01,G1001,bromine for chemical purposes
브로모벤젠,01,G1001,bromobenzene
브로모포름,01,G1001,bromoform
과학용 완충용액,01,G1001,buffer solutions for scientific purposes
분석화학용 완충용액,01,G1001,buffer solutions for use in analytical chemistry
부타디엔,01,G1001,butadiene
부탄올,01,G1001,butanol
초산부틸,01,G1001,butyl acetate
염화카코딜,01,G1001,cacodyl chloride
황화카드뮴,01,G1001,cadmium sulphide
세슘,01,G1001,caesium
소다회,01,G1001,calcined soda
칼슘,01,G1001,calcium
칼슘 알루민산염,01,G1001,calcium aluminate
이황화칼슘,01,G1001,calcium bisulphide
칼슘 중아황산염,01,G1001,calcium bisulphite
탄화칼슘,01,G1001,calcium carbide
탄산칼슘,01,G1001,calcium carbonate
화장품 제조용 탄산칼슘,01,G1001,calcium carbonates for use in the manufacture of cosmetics
염화칼슘,01,G1001,calcium chloride
제설제로 사용되는 염화칼슘,01,G1001,calcium chloride using as deicing agents
시안화칼슘,01,G1001,calcium cyanide
플루오르화칼슘,01,G1001,calcium fluoride
수산화칼슘,01,G1001,calcium hydroxides
요오드화칼슘,01,G1001,calcium iodide
질산칼슘,01,G1001,calcium nitrate
산화칼슘,01,G1001,calcium oxides
과산화칼슘,01,G1001,calcium peroxide
탄소,01,G1001,carbon
인산칼슘,01,G1001,calcium phosphate
칼슘염,01,G1001,calcium salts
규산칼슘,01,G1001,calcium silicate
황화칼슘,01,G1001,calcium sulphide
칼슘에 기초한 수족관용 해조류 영양보충제,01,G1001,calcium-based algae nutrient supplements for use in aquariums
의료기기용 눈금측정액,01,G1001,calibration fluids for medical apparatus
감홍(염화제1수은),01,G1001,calomel [mercurous chloride]
카르바졸,01,G1001,carbazole
카바이드,01,G1001,carbide
탄화물,01,G1001,carbides
탄수화물,01,G1001,carbohydrates
기능성 식품원료용 탄수화물,01,G1001,carbohydrates used as an ingredient in nutraceuticals
공업용 카본블랙,01,G1001,carbon black for industrial purposes
도료 제조용 카본블랙,01,G1001,carbon black for the manufacture of paints
이산화탄소,01,G1001,carbon dioxide
이황화탄소,01,G1001,carbon disulfide
염화플루오르화탄소,01,G1001,carbon fluorochloride
필터용 탄소,01,G1001,carbon for filters
공업용 탄소,01,G1001,carbon for industrial purposes
일산화탄소,01,G1001,carbon monoxide
황화탄소,01,G1001,carbon sulphide
사염화탄소,01,G1001,carbon tetrachloride
탄산염,01,G1001,carbonates
탄산,01,G1001,carbonic acid
탄산가스,01,G1001,carbonic acid gas
수산화탄소,01,G1001,carbonic hydrates
화장품 원료용 카르나우바 왁스,01,G1001,carnauba wax for raw materials of cosmetics
공업용 카세인,01,G1001,casein for industrial purposes
식품산업용 카세인,01,G1001,casein for the food industry
촉매제,01,G1001,catalysts
화학 및 생화학 공정용 촉매,01,G1001,catalysts for chemical and biochemical processes
디젤엔진배기가스 촉매제,01,G1001,catalysts for diesel engine exhaust gas
산화공정용 촉매,01,G1001,catalysts for oxidation processes
생화학공정용 촉매제,01,G1001,catalysts for use in biochemical processes
화학공정용 촉매제,01,G1001,catalysts for use in chemical processes
공업용 화학제 제조용 촉매제,01,G1001,catalysts for use in the manufacture of industrial chemicals
플라스틱 제조용 촉매제,01,G1001,catalysts for use in the manufacture of plastics
폴리머 제조용 촉매제,01,G1001,catalysts for use in the manufacture of polymers
고무 제조용 촉매제,01,G1001,catalysts for use in the manufacture of rubber
합성물/고무 및 폴리머 제조용 촉매,01,G1001,"catalysts for use in the manufacture of synthetics, rubbers and polymers"
오일가공산업용 촉매제,01,G1001,catalysts for use in the oil processing industry
카테큐,01,G1001,catechu
가성알칼리,01,G1001,caustic alkali
보일러 연료 관련 조연촉매제,01,G1001,catalytic oxidation preparations relating to boiler fuels
자동차 연료 관련 조연촉매제,01,G1001,catalytic oxidation preparations relating to automotive
제조공정용 양이온 계면활성제,01,G1001,cationic surfactants for use in manufacture
가성칼리,01,G1001,caustic potash
가성칼리(수산화칼륨),01,G1001,caustic potash (potassium hydroxide)
가성소다(수산화나트륨),01,G1001,caustic soda (sodium hydroxide)
공업용 가성소다,01,G1001,caustic soda for industrial purposes
공업용 부식제,01,G1001,caustics for industrial purposes
과학연구용 세포배양용 세포배양매체,01,G1001,cell growth media for growing cells for use in scientific research
세정제 제조용 셀룰라아제,01,G1001,cellulase for use in the manufacture of detergents
세제 제조용 셀룰라아제,01,G1001,cellulase used in detergent manufacture
셀룰로오스,01,G1001,cellulose
셀룰로오스 유도제(화학제),01,G1001,cellulose derivatives [chemicals]
공업용 셀룰로오스에스테르,01,G1001,cellulose esters for industrial purposes
공업용 셀룰로오스에테르,01,G1001,cellulose ethers for industrial purposes
공업용 셀룰로오스,01,G1001,cellulose for industrial purposes
야금용 시멘트,01,G1001,cement [metallurgy]
시멘트 혼합제,01,G1001,cement blending agents
시멘트 보존제(페인트 및 오일은 제외),01,G1001,"cement preservatives, except paints and oils"
시멘트 급결제,01,G1001,cement set accelerators
시멘트 방수제(페인트 제외),01,G1001,cement-waterproofing preparations (except paints)
공업용 세라믹 코팅제,01,G1001,ceramic coating agents for industrial purposes
여과용 입상(粒狀) 세라믹제 재료,01,G1001,"ceramic materials in particulate form, for use as filtering media"
공업용 반도체 연마제용 세리아슬러리,01,G1001,ceria slurries for abrading semiconductor for industrial purposes
염화세륨,01,G1001,cerium chloride
플루오르화세륨,01,G1001,cerium fluoride
수산화세륨,01,G1001,cerium hydroxide
산화세륨,01,G1001,cerium oxides
세틸알코올,01,G1001,cetyl alcohol
화장품원료용 세틸알코올,01,G1001,cetyl alcohol for raw materials of cosmetics
연료불순물제거용 화학흡수제,01,G1001,chemical absorbents for removing impurities from fuel
플라스틱 도금용 화학첨가제,01,G1001,chemical additive for plastic plating
인쇄회로기판 도금용 화학첨가제,01,G1001,chemical additive for printed circuit board plating
자동차 엔진 냉각수용 화학첨가제,01,G1001,chemical additives for automotive engine cooling waters
자동차용 화학첨가제,01,G1001,chemical additives for automotives
건축재용 화학첨가제,01,G1001,chemical additives for building material
콘크리트용 화학첨가제,01,G1001,chemical additives for concrete
디젤연료용 화학첨가제,01,G1001,chemical additives for diesel fuels
엔진 냉각시스템용 화학첨가제,01,G1001,chemical additives for engine cooling systems
엔진오일용 화학첨가제,01,G1001,chemical additives for engine oils
비료용 화학첨가제,01,G1001,chemical additives for fertilizers
식품 산업용 화학첨가제,01,G1001,chemical additives for food industry
연료용 화학첨가제,01,G1001,chemical additives for fuel
옥탄촉진제 성질의 연료용 화학첨가제,01,G1001,chemical additives for fuel in the nature of octane boosters
연료 주입시스템 세정제용 화학첨가제,01,G1001,chemical additives for fuel injection system cleaners
연료 처리용 화학첨가제,01,G1001,chemical additives for fuel treatment
가솔린용 화학첨가제,01,G1001,chemical additives for gasoline
가솔린용 화학첨가제,01,G1001,chemical additives for petrol
공업용 화학첨가제,01,G1001,chemical additives for industrial purposes
내연기관 연료용 화학첨가제,01,G1001,chemical additives for use with internal combustion engine fuels
